Vehicle Type,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
Livery,70285,ACTIVE,LINCOLN,CONTINENTAL,2020,BLACK,Gasoline,N,SANAD LIMO INC,5905 S. KEDZIE AVE.,CHICAGO,IL,60629,,,70285Livery
Ambulance,289214,ACTIVE,FORD,TRANSIT,2019,WHITE,Gasoline,N,FREEDOM EMS LLC,612 S. EDGEWATER LN.,SHOREWOOD,IL,60404,,,289214Ambulance
Ambulance,5510,ACTIVE,MERCEDES,SPRINTER,2012,ORANGE/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5510Ambulance
Medicar,7017,INACTIVE,FORD,E150,2009,WHITE,Gasoline,N,"SPECIALTY NEEDS TRANSPORTATION, INC.",8400 W. 183RD PL.,TINLEY PARK,IL,60487,,,7017Medicar
Taxi,6659,SURRENDER,TOYOTA,PRIUS,2016,WHITE,Hybrid,N,ABNS INC,2601 W. PETERSON AVE.,CHICAGO,IL,60659,DIS-AFFILIATED,Owner-Operator,6659Taxi
Ambulance,817728,INACTIVE,FORD,E350,2011,WHITE,Gasoline,N,"LIFELINE AMBULANCE, LLC",3737  CHASE AVE.,SKOKIE,IL,60076,,,817728Ambulance
Taxi,116,ACTIVE,TOYOTA,RAV4,2020,WHITE,Gasoline,N,"SES TRANS, INC",2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner-Operator,116Taxi
Taxi,2752,SURRENDER,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,2752 TAXI CORP.,5200 N. OTTO AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,2752Taxi
Charter Sightseeing,13153,INACTIVE,FORD,E350,2008,WHITE,Gasoline,N,ARIES SHUTTLE CHICAGO LLC,621 S. KOLMAR AVE.,CHICAGO,IL,60624,,,13153Charter Sightseeing
Ambulance,289216,RESERVED,FORD,TRANSIT,2019,WHITE,Gasoline,N,FREEDOM EMS LLC,612 S. EDGEWATER LN.,SHOREWOOD,IL,60404,,,289216Ambulance
Ambulance,721308,ACTIVE,FORD,TRANSIT,2021,YELLOW,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721308Ambulance
Taxi,6065,ACTIVE,TOYOTA,PRIUS,2014,WHITE/BLUE/STRIPES,Hybrid,N,ADDISETH INC,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,Owner-Operator,6065Taxi
Charter Sightseeing,15970,INACTIVE,FREIGHTLINER,FB65,2003,WHITE,Gasoline,N,EMPEROR LIMOUSINE AND PARTY BUS SERVICE LLC,619 N. RACINE AVE.,CHICAGO,IL,60642,,,15970Charter Sightseeing
Charter Sightseeing,24639,ACTIVE,FORD,TRANSIT,2023,BLACK,Gasoline,N,WAY TO GO LIMOUSINE INC,7532 S. DORCHESTER AVE.,CHICAGO,IL,60619,,,24639Charter Sightseeing
Ambulance,721337,ACTIVE,MERCEDES,SPRINTER,2016,WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721337Ambulance
Taxi,1154,ACTIVE,TOYOTA,CAMRY,2019,WHITE,Hybrid,N,MM & SS TAXI INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,1154Taxi
Charter Sightseeing,9358,INACTIVE,CHEVROLET,ELDORADO BUS,2005,WHITE,Gasoline,N,CHICAGO MINIBUS TRAVEL INC.,9740 W. FOSTER,CHIICAGO,IL,60018,,,9358Charter Sightseeing
Taxi,1998,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,NATASHA TRANSPORTATION INC.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,1998Taxi
Ambulance,721479,ACTIVE,MERCEDES,SPRINTER,2016,WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721479Ambulance
Taxi,3708,VIOLATION,TOYOTA,CAMRY,2014,BLUE,Hybrid,N,SANTORINI THREE CAB CORP.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,3708Taxi
Livery,8527,ACTIVE,LINCOLN,CORSAIR,2022,BLACK,Gasoline,N,LAKESHORE TRANSPORT INC.,5008 N. OAK PARK AVE.,CHICAGO,IL,60656,,,8527Livery
Taxi,6537,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,BLUE EYES CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,6537Taxi
Taxi,2283,ACTIVE,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,N,ETHIO TRANS INC,7405 N. WESTERN AVE.,CHICAGO,IL,60645,Choice Taxi Association Inc,Owner-Operator,2283Taxi
Livery,7803,ACTIVE,FORD,EXPEDITION,2022,BLACK,Gasoline,N,HIVE ENTERPRISE LLC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,7803Livery
Taxi,2654,ACTIVE,TOYOTA,PRIUS,2013,BLUE/WHITE,Hybrid,N,AUJLA CAB CO,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner Manager,2654Taxi
Taxi,2647,ACTIVE,TOYOTA,PRIUS,2014,YELLOW,Hybrid,N,"TAXI MEDALLION GROUP,LLC SERIES VI",4175 N. ELSTON AVE.,CHICAGO,IL,60618,Yellow Cab Association,Owner Manager,2647Taxi
Taxi,1614,VIOLATION,FORD,C-MAX,2013,BLUE,Hybrid,N,OIA CAB CORP.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,1614Taxi
Ambulance,721335,ACTIVE,MERCEDES,SPRINTER,2016,BLUE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721335Ambulance
Taxi,977,ACTIVE,TOYOTA,PRIUS,2013,GREEN,Hybrid,N,NECT 39 LLC,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",977Taxi
Taxi,486,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,MEDALLION FUNDING CHICAGO CORP,2617 S. WABASH AVE.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,486Taxi
Charter Sightseeing,21228,RESERVED,FREIGHTLINER,FB65,2002,SILVER,Gasoline,N,"EMPEROR LIMOUSINE AND PARTY BUS, LLC",5 E. 14TH PL.,CHICAGO,IL,60605,,,21228Charter Sightseeing
Charter Sightseeing,16455,INACTIVE,CHAMPION,M1000,2006,WHITE,Gasoline,N,EMPEROR LIMOUSINE AND PARTY BUS SERVICE LLC,619 N. RACINE AVE.,CHICAGO,IL,60642,,,16455Charter Sightseeing
Ambulance,721480,ACTIVE,MERCEDES,SPRINTER,2016,WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721480Ambulance
Ambulance,5174,INACTIVE,,,,,Gasoline,N,TOWER AMBULANCE,5567 N. ELSTON AVE.,CHICAGO,IL,60630,,,5174Ambulance
Taxi,1960,ACTIVE,TOYOTA,RAV4,2021,GRAY,Hybrid,N,FAMAL TRANS INC,2532 W. WARREN BLVD.,CHICAGO,IL,60612,Independent1,Owner Manager,1960Taxi
Taxi,6983,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,2350 W. OGDEN AVE.,CHICAGO,IL,60608,,,6983Taxi
Taxi,1363,ACTIVE,TOYOTA,SIENNA,2019,BLUE/WHITE,Gasoline,Y,1363 CAB INC,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner Manager,1363Taxi
Medicar,6691,INACTIVE,FORD,E450,2004,WHITE,Gasoline,N,NEAL'S TRANSPORTATION  INC,8408 S. ADA ST.,CHICAGO,IL,60620,,,6691Medicar
Taxi,6153,ACTIVE,TOYOTA,RAV4,2021,RED,Hybrid,N,ST. MICHAEL'S TAXI LLC,6014 N. FRANCISCO AVE.,CHICAGO,IL,60659,Independent1,Owner-Operator,6153Taxi
Livery,70458,ACTIVE,LINCOLN,CORSAIR,2023,BLACK,Gasoline,N,EXPRESS RIDE LLC,2639 W. BERWYN AVE.,CHICAGO,IL,60625,,,70458Livery
Livery,70459,ACTIVE,LINCOLN,NAVIGATOR L,2024,BLACK,Gasoline,N,"STEELHAND TRADE, LLC",5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,70459Livery
Livery,70460,ACTIVE,LINCOLN,NAVIGATOR,2024,BLACK,Gasoline,N,MJ SINGH LIMO INC.,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,70460Livery
Taxi,5916,ACTIVE,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,N,3860 TAXI CORP,7405 N. WESTERN AVE.,CHICAGO,IL,60645,Choice Taxi Association Inc,Owner Manager,5916Taxi
Charter Sightseeing,24723,ACTIVE,FORD,F53,2011,WHITE,Gasoline,N,WAY TO GO LIMOUSINE INC,7532 S. DORCHESTER AVE.,CHICAGO,IL,60619,,,24723Charter Sightseeing
Pedicab,133,ACTIVE,MANMADE,NONE,2015,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,133Pedicab
Medicar,23798,ACTIVE,TOYOTA,SIENNA,2020,WHITE,Gasoline,N,M&M MEDICAR SERVICE LLC,5639 N. KOSTNER AVE.,CHICAGO,IL,60646,,,23798Medicar
Taxi,1402,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,MASOODY INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,1402Taxi
Medicar,7498,INACTIVE,DODGE,CARAVAN,2005,WHITE,Gasoline,N,BRANTLEY ENTERPRISES INC,2640 W. 84TH PL.,CHICAGO,IL,60652,,,7498Medicar
Taxi,6907,SURRENDER,NISSAN,SENTRA,2019,BLUE,Gasoline,N,CITY TAXI INC.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,6907Taxi
Ambulance,721311,ACTIVE,FORD,TRANSIT,2021,YELLOW,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,721311Ambulance
Pedicab,161,ACTIVE,VIP,NONE,2018,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618,,,161Pedicab
Taxi,2043,VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,CHICAGO SEVEN CAB INC,2617 S. WABASH AVE.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,2043Taxi
Taxi,2245,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,N,"A & H TRANS, INC",3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641,Yellow Cab Association,Owner-Operator,2245Taxi
Taxi,3650,VIOLATION,NISSAN,SENTRA,2019,BLUE,Gasoline,N,CITY TAXI INC.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,3650Taxi
Charter Sightseeing,174233,VIOLATION,FREIGHTLINER,TROLLEY,2011,WHITE/GREEN,Gasoline,N,TROLLEY BUS RENTAL INC,1903 S. PULASKI RD.,CHICAGO,IL,60623,,,174233Charter Sightseeing
Taxi,6865,VIOLATION,FORD,ESCAPE,2010,GREEN,Hybrid,N,ARIES TAXI CAB INC,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",6865Taxi
Taxi,1524,ACTIVE,TOYOTA,SIENNA,2022,GRAY,Hybrid,Y,CYO INC,4550 N. CLARENDON AVE.,CHICAGO,IL,60640,Independent1,Owner-Operator,1524Taxi
Taxi,4254,ACTIVE,TOYOTA,CAMRY,2017,BLUE/WHITE,Hybrid,N,MCCAB XXIV CORP,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",4254Taxi
Medicar,41956,INACTIVE,FORD,TRANSIT,2017,WHITE,Gasoline,N,CHICAGO MEZUZAH AND MITZVAH CAMPAIGNS,2939 W. TOUHY AVE.,CHICAGO,IL,60645,,,41956Medicar
Medicar,42070,INACTIVE,FORD,TRANSIT,2017,WHITE,Gasoline,N,CHICAGO MEZUZAH AND MITZVAH CAMPAIGNS,2939 W. TOUHY AVE.,CHICAGO,IL,60645,,,42070Medicar
Livery,7303,ACTIVE,VOLVO,S90,2022,BLACK,Gasoline,N,ALL ABOUT CHARTER INC,5584 W. NORTHWEST HIGHWAY,CHICAGO,IL,60630,,,7303Livery
Medicar,23313,ACTIVE,GMC,ACADIA,2008,BLACK,Gasoline,N,ANTONIO'S TRANSPORTATION CORPORATION,3011 W. 79TH ST.,CHICAGO,IL,60652,,,23313Medicar
Livery,7674,ACTIVE,LINCOLN,NAVIGATOR L,2023,BLACK,Gasoline,N,DTA PREMIER CAR SERVICE LLC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,7674Livery
Taxi,4331,SURRENDER,HYUNDAI,SONATA,2016,BLUE,Hybrid,N,MICHIGAN AVE CAB LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,NORTHSTAR AFFILIATION,Star North Management LLC,4331Taxi
Medicar,8805,INACTIVE,DODGE,GRAND CARAVAN,2010,WHITE,Gasoline,N,MELVIN JENKINS II,10241 S. GREEN ST.,CHICAGO,IL,60643,,,8805Medicar
Livery,8875,ACTIVE,CHEVROLET,SUBURBAN,2023,BLACK,Gasoline,N,TANOLI INC.,6545 N. SACRAMENTO AVE.,CHICAGO,IL,60645,,,8875Livery
Taxi,80,ACTIVE,TOYOTA,CAMRY,2016,BLUE/WHITE,Hybrid,N,MCCAB XII CORP.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",80Taxi
Livery,70461,RESERVED,FORD,EXPEDITION,2022,BLACK,Gasoline,N,MONICA J. ORTEGA,6720 N. DAMEN AVE.,CHICAGO,IL,60645,,,70461Livery
Taxi,4085,VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,GLENDALE TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,4085Taxi
Ambulance,5306,ACTIVE,MERCEDES,SPRINTER,2016,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5306Ambulance
Taxi,5164,SURRENDER,TOYOTA,COROLLA,2018,WHITE,Gasoline,N,ANTIPAROS CAB CORP,3452 N. ELSTON AVE.,CHICAGO,IL,60618,Top Cab Association,Top Cab Corp.,5164Taxi
Taxi,1778,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,A RATTANI INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,1778Taxi
Livery,70693,ACTIVE,FORD,EXPEDITION,2024,BLACK,Gasoline,N,MOHAMMED R. SYED,4855 N. SAYRE AVE.,CHICAGO,IL,60656,,,70693Livery
Taxi,5338,SURRENDER,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,SAHARAN CAB INC,2601 W. PETERSON AVE.,CHICAGO,IL,60659,DIS-AFFILIATED,Owner-Operator,5338Taxi
Taxi,2824,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,"A&Z LAB SERVICES, INC",9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Chicago Taxicab Management Inc.,2824Taxi
Taxi,6018,ACTIVE,TOYOTA,CAMRY,2016,WHITE,Hybrid,N,WARM TAXI INC,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,6018Taxi
Taxi,3602,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,TRANZIT INC.,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner Manager,3602Taxi
Livery,70930,ACTIVE,LINCOLN,NAVIGATOR,2023,BLACK,Gasoline,N,DONGXU ZHANG,5208 S. AVERS AVE.,CHICAGO,IL,60632,,,70930Livery
Taxi,6658,SURRENDER,NISSAN,ALTIMA,2017,WHITE,Gasoline,N,SOURCE CAB CO.,5033 N. WOLCOTT AVE.,CHICAGO,IL,60640,Independent1,Owner-Operator,6658Taxi
Taxi,1328,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,KILLER DOG CAB CORP,2617 S. WABASH AVE.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,1328Taxi
Ambulance,872526,INACTIVE,FORD,E350,2014,WHITE,Gasoline,N,1ST RESPONSE EMS INC.,6027 S. WENTWORTH AVE.,CHICAGO,IL,60621,,,872526Ambulance
Ambulance,5506,INACTIVE,MERCEDES,SPRINTER,2013,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5506Ambulance
Livery,70332,RESERVED,FORD,EXPEDITION,2019,BLACK,Gasoline,N,CHI LIVERY INC,1765 W. TOUHY AVE.,CHICAGO,IL,60626,,,70332Livery
Livery,8984,ACTIVE,CHEVROLET,SUBURBAN,2023,BLACK,Gasoline,N,ERA TRANSPORT SERVICES INC.,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,8984Livery
Ambulance,5635,INACTIVE,FORD,E350,2006,WHITE/RED,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5635Ambulance
Taxi,1631,VIOLATION,FORD,ESCAPE,2010,GREEN,Hybrid,N,AQUARIUS CAB INC.,6500 N. WESTERN AVE.,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1631Taxi
Livery,8116,ACTIVE,CADILLAC,ESCALADE ESV,2022,BLACK,Gasoline,N,YESZOUK TRANSPORT CORPORATION,3515 S. COTTAGE GROVE AVE.,CHICAGO,IL,60653,,,8116Livery
Livery,9815,ACTIVE,LINCOLN,NAVIGATOR L,2021,BLACK,Gasoline,N,MIKE AND SONS LIMO SERVICES LLC,2844 W. BERWYN AVE.,CHICAGO,IL,60625,,,9815Livery
Livery,8779,ACTIVE,CADILLAC,ESCALADE ESV,2023,BLACK,Gasoline,N,LUCKY LIVERY INC,5905 S. KEDZIE AVE.,CHICAGO,IL,60629,,,8779Livery
Medicar,8662,VIOLATION,FORD,TRANSIT,2017,WHITE,Flex Fuel,N,ELITE MEDICAL TRANSPORTATION LLC,11551  184TH PL.,ORLAND PARK,IL,60467,,,8662Medicar
Taxi,4542,ACTIVE,TOYOTA,RAV4,2017,WHITE,Hybrid,N,4542 TAXI INC,4118 W. LAWRENCE AVE.,CHICAGO,IL,60630,Globe Taxi Association Inc,Owner-Operator,4542Taxi
Taxi,4407,VIOLATION,TOYOTA,PRIUS,2016,WHITE,Hybrid,N,2ND AVENUE TAXI CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,4407Taxi
Taxi,3324,SURRENDER,TOYOTA,CAMRY,2013,WHITE/BLUE/STRIPES,Hybrid,N,AKAL CAB COMPANY,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",3324Taxi
Taxi,3811,ACTIVE,FORD,ESCAPE,2011,BLUE/WHITE,Hybrid,N,"DAWO RIVER, CORP",4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner-Operator,3811Taxi
Taxi,1206,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,DILAN CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,DIS-AFFILIATED,Owner Manager,1206Taxi
Taxi,3661,VIOLATION,DODGE,CARAVAN,2013,WHITE,Flex Fuel,N,DAEM RIDE INC.,5136 N. WESTERN AVE.,CHICAGO,IL,60625,DIS-AFFILIATED,Owner Manager,3661Taxi
Taxi,3226,SURRENDER,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,3226 TAXI CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,3226Taxi
Medicar,18183,ACTIVE,FORD,TRANSIT,2016,WHITE,Gasoline,N,ILLINOIS MEDI-CAR INC,1350 S. LEAVITT ST.,CHICAGO,IL,60608,,,18183Medicar
